t_s,x_px,y_px
6.105000,138.500000,381.500000
6.138000,134.892853,380.107147
6.171000,128.987686,379.421173
6.204000,125.500000,378.500000
6.237000,124.026314,378.500000
6.270000,123.888885,378.555542
6.303000,125.500000,379.045441
6.336000,129.500000,380.500000
6.369000,135.943665,382.704224
6.402000,143.500000,384.500000
6.435000,148.572632,386.594971
6.468000,165.943665,390.704224
6.501000,178.500000,393.500000
6.534000,192.500000,395.500000
6.567000,208.500000,397.500000
6.600000,225.035721,399.964294
6.633000,242.500000,400.500000
6.666000,260.687500,400.500000
6.699000,269.739136,400.840576
6.732000,286.187500,399.500000
6.765000,303.970581,397.500000
6.798000,320.500000,394.500000
6.831000,337.035706,391.964294
6.864000,352.500000,388.500000
6.897000,365.964294,385.035706
6.930000,378.500000,381.346161
6.963000,389.500000,377.323517
6.996000,398.500000,374.500000
7.029000,409.030853,369.487640
7.062000,414.500000,367.000000
7.095000,417.799988,365.200012
7.128000,418.500000,364.500000
7.161000,418.500000,364.500000
7.194000,417.719177,363.974884
7.227000,416.500000,364.500000
7.260000,411.908386,366.028809
7.293000,406.500000,368.500000
7.326000,397.500000,371.299988
7.359000,383.200012,375.799988
7.392000,371.500000,379.323517
7.425000,358.500000,382.863647
7.458000,344.578827,386.243835
7.491000,329.500000,389.029419
7.524000,313.500000,391.500000
7.557000,297.323517,393.500000
7.590000,279.964294,395.035706
7.623000,272.366669,395.500000
7.656000,254.500000,396.500000
7.689000,237.500000,395.500000
7.722000,221.500000,395.029419
7.755000,205.500000,393.500000
7.788000,191.035721,391.964294
7.821000,178.500000,390.500000
7.854000,165.487656,387.969147
7.887000,159.964279,387.035706
7.920000,150.291473,385.177734
7.953000,138.107147,382.892853
7.986000,132.500000,381.500000
8.019000,129.157364,380.412354
8.052000,127.871429,380.528564
8.085000,127.882492,380.633636
8.118000,129.387894,380.872192
8.151000,132.892853,382.107147
8.184000,139.147064,384.500000
8.217000,146.638290,386.680847
8.250000,156.500000,389.500000
8.283000,168.107147,392.892853
8.316000,180.500000,394.500000
8.349000,188.107147,396.892853
8.382000,202.500000,397.500000
8.415000,218.500000,399.500000
8.448000,234.500000,400.500000
8.481000,251.514923,401.037323
8.514000,269.369354,400.650757
8.547000,286.500000,400.500000
8.580000,303.035706,397.964294
8.613000,319.500000,395.500000
8.646000,334.863647,392.500000
8.679000,350.072784,388.631470
8.712000,363.200012,385.200012
8.745000,375.471008,381.311584
8.778000,385.554382,378.018829
8.811000,394.500000,374.500000
8.844000,398.500000,372.500000
8.877000,408.019989,368.980011
8.910000,412.051361,366.813507
8.943000,414.500000,365.038452
8.976000,415.112152,364.682251
9.009000,414.500000,364.500000
9.042000,412.500000,364.500000
9.075000,405.500000,367.500000
9.108000,398.500000,370.136353
9.141000,394.192322,371.500000
9.174000,385.021729,374.152161
9.207000,374.500000,377.500000
9.240000,362.939484,380.735657
9.273000,349.906097,384.317261
9.306000,342.500000,385.500000
9.339000,328.233337,388.500000
9.372000,304.500000,392.500000
9.405000,288.500000,394.500000
9.438000,272.500000,395.500000
9.471000,255.500000,396.500000
9.504000,238.650757,395.630646
9.537000,231.035721,395.964294
9.570000,208.500000,394.500000
9.603000,193.613297,392.731537
9.636000,179.908371,390.971191
9.669000,168.500000,389.500000
9.702000,157.208160,386.594421
9.735000,148.587646,385.842621
9.768000,141.500000,384.500000
9.801000,136.107147,382.892853
9.834000,132.500000,382.500000
9.867000,130.892853,382.107147
9.900000,131.000000,382.500000
9.933000,132.134979,383.093170
9.966000,135.943665,384.704224
9.999000,141.500000,386.500000
10.032000,149.500000,388.500000
10.065000,159.500000,390.500000
10.098000,170.500000,393.500000
10.131000,183.289474,396.500000
10.164000,189.500000,396.500000
10.197000,204.107147,398.892853
10.230000,220.107147,400.892853
10.263000,235.964279,401.035706
10.296000,252.500000,401.500000
10.329000,269.421173,400.987671
10.362000,285.500000,399.954559
10.395000,302.500000,397.852936
10.428000,318.633331,395.500000
10.461000,333.500000,392.500000
10.494000,340.500000,390.500000
10.527000,361.035706,385.964294
10.560000,372.500000,382.136353
10.593000,382.500000,378.500000
10.626000,391.964294,375.035706
10.659000,398.500000,371.500000
10.692000,404.247528,369.207916
10.725000,408.235291,367.000000
10.758000,410.500000,366.000000
10.791000,410.726746,365.302338
10.824000,410.500000,364.500000
10.857000,408.205872,365.500000
10.890000,404.500000,366.500000
10.923000,398.500000,368.500000
10.956000,390.500000,372.500000
10.989000,382.500000,374.500000
11.022000,372.500000,378.500000
11.055000,366.500000,378.500000
11.088000,348.055542,384.055542
11.121000,334.500000,386.863647
11.154000,319.857147,389.857147
11.187000,304.500000,392.500000
11.220000,288.500000,393.653839
11.253000,274.074615,395.388062
11.286000,257.500000,396.500000
11.319000,240.500000,396.500000
11.352000,225.500000,395.500000
11.385000,210.500000,394.500000
11.418000,196.500000,394.500000
11.451000,183.035721,391.964294
11.484000,171.500000,390.500000
11.517000,161.078949,389.078949
11.550000,152.500000,387.500000
11.583000,145.500000,386.500000
11.616000,139.500000,384.500000
11.649000,136.500000,384.500000
11.682000,134.500000,384.500000
11.715000,134.500000,384.500000
11.748000,135.500000,384.807678
11.781000,139.157364,386.412354
11.814000,145.500000,388.500000
11.847000,152.892853,390.107147
11.880000,161.943665,392.704224
11.913000,172.600006,394.600006
11.946000,184.892853,396.107147
11.979000,198.107147,398.892853
12.012000,205.500000,399.500000
12.045000,220.500000,400.500000
12.078000,236.500000,401.500000
12.111000,252.500000,401.500000
12.144000,268.500000,400.500000
12.177000,283.500000,399.500000
12.210000,300.892853,398.107147
12.243000,316.500000,395.500000
12.276000,330.500000,392.500000
12.309000,345.200012,389.200012
12.342000,357.500000,385.323517
12.375000,368.500000,382.500000
12.408000,378.500000,378.500000
12.441000,387.029846,375.455231
12.474000,394.500000,372.500000
12.507000,399.500000,369.700012
12.540000,404.028503,368.354919
12.573000,404.807678,367.500000
12.606000,406.346161,366.346161
12.639000,406.500000,366.000000
12.672000,404.500000,366.192322
12.705000,400.500000,367.590912
12.738000,395.500000,369.500000
12.771000,388.500000,372.136353
12.804000,380.500000,374.500000
12.837000,370.500000,378.500000
12.870000,359.807678,381.192322
12.903000,348.500000,384.500000
12.936000,335.030853,387.487640
12.969000,320.578827,390.243835
13.002000,306.500000,392.500000
13.035000,290.500000,394.500000
13.068000,274.731537,395.613312
13.101000,260.307098,397.053314
13.134000,244.500000,396.500000
13.167000,229.053650,397.294006
13.200000,214.892853,396.107147
13.233000,200.500000,395.500000
13.266000,188.500000,394.500000
13.299000,181.964279,393.035706
13.332000,170.708527,391.822266
13.365000,161.056335,390.295776
13.398000,153.233337,388.500000
13.431000,146.892853,388.107147
13.464000,142.236847,387.500000
13.497000,140.500000,386.500000
13.530000,138.500000,386.500000
13.563000,138.500000,386.500000
13.596000,139.500000,386.500000
13.629000,145.500000,388.500000
13.662000,151.500000,390.500000
13.695000,159.500000,392.500000
13.728000,169.117508,394.366364
13.761000,180.500000,396.500000
13.794000,199.117508,398.366364
13.827000,206.500000,399.500000
13.860000,220.500000,400.500000
13.893000,234.500000,400.500000
13.926000,250.500000,400.500000
13.959000,266.500000,400.500000
13.992000,273.794128,399.794128
14.025000,297.500000,397.500000
14.058000,312.731537,395.613312
14.091000,326.500000,392.500000
14.124000,340.500000,389.500000
14.157000,352.578827,386.243835
14.190000,364.500000,382.500000
14.223000,373.650696,379.390411
14.256000,378.500000,378.136353
14.289000,389.200012,373.200012
14.322000,396.500000,369.730774
14.355000,399.500000,368.205872
14.388000,401.313965,366.848846
14.421000,401.629028,366.983856
14.454000,401.615143,367.009094
14.487000,399.979248,367.426270
14.520000,396.735657,368.939484
14.553000,391.863647,370.500000
14.586000,385.112152,372.682251
14.619000,377.500000,375.500000
14.652000,368.500000,378.500000
14.685000,357.970581,381.500000
14.718000,346.264343,384.939484
14.751000,340.500000,386.500000
14.784000,327.357147,389.357147
14.817000,313.192322,391.807678
14.850000,298.500000,394.500000
14.883000,283.035706,395.964294
14.916000,268.925385,397.611938
14.949000,253.578812,398.012329
14.982000,238.500000,398.500000
15.015000,224.500000,398.500000
15.048000,217.029419,397.500000
15.081000,203.500000,396.366669
15.114000,185.078949,395.078949
15.147000,174.500000,393.233337
15.180000,165.500000,392.500000
15.213000,157.157364,390.412354
15.246000,151.178574,389.821442
15.279000,146.399994,388.399994
15.312000,143.366669,387.633331
15.345000,142.892853,388.107147
15.378000,143.500000,388.500000
15.411000,144.600006,388.600006
15.444000,149.500000,389.500000
15.477000,156.011734,391.861511
15.510000,159.500000,392.500000
15.543000,172.500000,394.500000
15.576000,183.500000,396.500000
15.609000,195.791840,398.405579
15.642000,208.500000,399.500000
15.675000,214.840576,399.739136
15.708000,236.500000,400.500000
15.741000,251.260864,400.159424
15.774000,266.500000,399.500000
15.807000,280.566681,398.566681
15.840000,296.500000,396.500000
15.873000,310.500000,394.500000
15.906000,318.500000,393.500000
15.939000,337.964294,389.035706
15.972000,349.500000,385.500000
16.005000,360.500000,382.500000
16.038000,370.033325,380.033325
16.071000,378.500000,376.500000
16.104000,384.928558,373.500000
16.137000,390.500000,372.136353
16.170000,394.500000,370.136353
16.203000,396.208344,368.791656
16.236000,397.136353,368.500000
16.269000,397.233948,368.417419
16.302000,396.766663,368.500000
16.335000,394.192322,369.500000
16.368000,389.500000,371.500000
16.401000,384.500000,372.863647
16.434000,377.500000,375.500000
16.467000,369.238098,379.142853
16.500000,359.500000,381.500000
16.533000,348.500000,384.500000
16.566000,336.966675,387.500000
16.599000,317.323517,391.500000
16.632000,303.386688,394.268463
16.665000,288.500000,395.653839
16.698000,273.974884,397.280823
16.731000,260.687500,398.500000
16.764000,244.500000,398.500000
16.797000,230.500000,398.500000
16.830000,217.053650,397.705994
16.863000,204.500000,397.500000
16.896000,192.500000,396.500000
16.929000,181.233337,394.500000
16.962000,171.622452,393.234680
16.995000,163.056335,392.295776
17.028000,156.500000,390.500000
17.061000,153.500000,390.500000
17.094000,147.821426,389.178558
17.127000,147.500000,389.500000
17.160000,147.500000,389.500000
17.193000,147.853714,389.246735
17.226000,151.500000,390.500000
17.259000,157.451614,392.397858
17.292000,164.366364,393.117523
17.325000,172.500000,394.500000
17.358000,182.892853,396.107147
17.391000,193.964279,397.035706
17.424000,205.882492,398.633636
17.457000,218.500000,399.147064
17.490000,232.500000,399.500000
17.523000,247.035721,399.964294
17.556000,261.500000,399.500000
17.589000,276.107147,398.892853
17.622000,290.500000,396.500000
17.655000,304.500000,394.500000
17.688000,318.107147,392.892853
17.721000,331.500000,389.970581
17.754000,336.500000,388.500000
17.787000,348.500000,385.038452
17.820000,358.756165,382.421173
17.853000,368.500000,380.136353
17.886000,375.986176,376.837006
17.919000,382.500000,374.500000
17.952000,387.176483,371.941162
17.985000,391.813843,370.882965
18.018000,393.500000,369.500000
18.051000,393.500000,369.500000
18.084000,393.500000,369.500000
18.117000,392.939484,370.264343
18.150000,390.500000,370.500000
18.183000,386.500000,372.500000
18.216000,380.500000,374.500000
18.249000,376.966675,376.033325
18.282000,368.863647,378.500000
18.315000,355.000000,382.764709
18.348000,344.033325,386.033325
18.381000,338.966675,387.500000
18.414000,319.654938,391.612671
18.447000,306.650757,393.630646
18.480000,293.369354,396.349243
18.513000,271.630646,398.349243
18.546000,257.822266,398.708527
18.579000,242.500000,398.500000
18.612000,229.739136,398.840576
18.645000,216.500000,398.500000
18.678000,203.921051,397.921051
18.711000,192.500000,396.500000
18.744000,186.708527,395.822266
18.777000,177.233337,394.500000
18.810000,168.500000,393.500000
18.843000,162.500000,392.500000
18.876000,156.589035,390.616425
18.909000,153.233337,390.500000
18.942000,151.439163,389.728149
18.975000,151.366669,389.633331
19.008000,151.500000,389.500000
19.041000,154.500000,390.500000
19.074000,162.500000,392.500000
19.107000,169.451614,394.397858
19.140000,178.107147,394.892853
19.173000,188.107147,396.892853
19.206000,198.500000,397.500000
19.239000,210.500000,398.500000
19.272000,217.208160,398.594421
19.305000,230.500000,399.500000
19.338000,243.964279,399.035706
19.371000,258.500000,398.500000
19.404000,272.500000,398.500000
19.437000,286.500000,396.500000
19.470000,300.500000,395.500000
19.503000,313.964294,393.035706
19.536000,326.500000,390.500000
19.569000,338.500000,388.136353
19.602000,348.500000,384.500000
19.635000,358.735291,382.264709
19.668000,367.676483,379.500000
19.701000,374.756165,376.421173
19.734000,380.756165,374.421173
19.767000,386.019989,372.980011
19.800000,388.731964,370.938141
19.833000,390.735291,370.735291
19.866000,390.756165,370.578827
19.899000,390.500000,370.500000
19.932000,388.769836,372.087311
19.965000,384.500000,372.863647
19.998000,379.421173,374.987671
20.031000,376.136353,376.500000
20.064000,368.951233,379.097565
20.097000,355.974884,383.280823
20.130000,345.500000,385.500000
20.163000,334.500000,388.500000
20.196000,322.500000,392.136353
20.229000,309.500000,393.970581
20.262000,296.500000,396.500000
20.295000,281.500000,396.500000
20.328000,268.500000,398.500000
20.361000,254.500000,399.500000
20.394000,240.500000,398.500000
20.427000,227.223404,399.372345
20.460000,214.500000,398.500000
20.493000,202.500000,397.500000
20.526000,191.822281,396.708527
20.559000,182.500000,395.500000
20.592000,173.500000,394.500000
20.625000,166.500000,393.233337
20.658000,161.366669,391.633331
20.691000,156.589035,390.616425
20.724000,154.561615,390.580566
20.757000,154.399994,390.399994
20.790000,154.500000,390.500000
20.823000,156.500000,391.500000
20.856000,160.892853,392.107147
20.889000,166.412354,393.157379
20.922000,173.766663,394.500000
20.955000,182.500000,395.500000
20.988000,192.500000,396.500000
21.021000,203.791840,398.405579
21.054000,209.056335,398.295776
21.087000,222.107147,398.892853
21.120000,235.035721,399.964294
21.153000,248.500000,399.500000
21.186000,255.111115,398.444458
21.219000,269.500000,398.633331
21.252000,282.500000,397.500000
21.285000,295.964294,395.035706
21.318000,302.500000,394.500000
21.351000,322.421173,390.756165
21.384000,334.136353,388.500000
21.417000,344.578827,386.243835
21.450000,354.688354,383.087433
21.483000,362.863647,380.500000
21.516000,371.500000,377.500000
21.549000,377.125000,375.875000
21.582000,382.033325,374.033325
21.615000,384.029419,373.000000
21.648000,387.500000,371.500000
21.681000,388.247528,371.207916
21.714000,387.778473,371.588593
21.747000,384.500000,372.500000
21.780000,380.500000,374.500000
21.813000,375.590912,376.500000
21.846000,368.966675,378.966675
21.879000,361.020752,381.573730
21.912000,352.500000,384.500000
21.945000,341.573730,387.020752
21.978000,330.500000,390.136353
22.011000,318.500000,392.500000
22.044000,306.500000,394.500000
22.077000,299.500000,395.029419
22.110000,278.731537,397.613312
22.143000,266.349243,399.369354
22.176000,251.964279,399.035706
22.209000,245.311600,399.471008
22.242000,232.366669,399.500000
22.275000,219.613297,398.731537
22.308000,207.500000,398.227264
22.341000,196.500000,397.233337
22.374000,186.708527,395.822266
22.407000,177.500000,394.500000
22.440000,170.892853,394.107147
22.473000,165.452789,392.753204
22.506000,162.500000,392.500000
22.539000,159.120697,391.879303
22.572000,157.500000,391.500000
22.605000,157.500000,391.500000
22.638000,158.938812,391.073853
22.671000,162.500000,392.500000
22.704000,167.633331,393.366669
22.737000,174.500000,394.500000
22.770000,182.500000,395.500000
22.803000,192.107147,396.892853
22.836000,202.500000,397.500000
22.869000,214.107147,398.892853
22.902000,226.500000,399.500000
22.935000,238.500000,398.500000
22.968000,252.500000,399.500000
23.001000,266.500000,398.500000
23.034000,278.911774,397.500000
23.067000,292.500000,396.500000
23.100000,298.500000,394.500000
23.133000,311.964294,393.035706
23.166000,323.500000,390.500000
23.199000,334.756165,388.421173
23.232000,345.471008,385.311584
23.265000,354.500000,382.500000
23.298000,363.500000,380.500000
23.331000,369.799988,377.799988
23.364000,375.799988,375.799988
23.397000,380.243835,374.421173
23.430000,383.238098,373.142853
23.463000,384.756165,372.578827
23.496000,385.500000,372.500000
23.529000,384.756165,372.578827
23.562000,383.067566,373.472961
23.595000,380.349243,375.369354
23.628000,374.756165,376.421173
23.661000,368.500000,378.500000
23.694000,361.500000,381.500000
23.727000,352.837006,383.986176
23.760000,342.500000,386.500000
23.793000,331.974884,389.280823
23.826000,326.500000,390.500000
23.859000,308.500000,394.500000
23.892000,295.500000,395.500000
23.925000,282.366669,397.500000
23.958000,270.500000,398.500000
23.991000,256.349243,399.369354
24.024000,242.987686,399.421173
24.057000,236.500000,399.500000
24.090000,218.264709,398.735291
24.123000,206.892853,398.107147
24.156000,196.500000,397.500000
24.189000,182.555557,395.888885
24.222000,175.208160,394.594421
24.255000,168.988266,393.138489
24.288000,164.500000,392.500000
24.321000,161.500000,391.807678
24.354000,160.361710,392.319153
24.387000,160.361710,392.319153
24.420000,160.361710,392.319153
24.453000,162.500000,392.500000
24.486000,166.295776,393.056335
24.519000,171.500000,394.500000
24.552000,178.107147,394.892853
24.585000,186.892853,396.107147
24.618000,196.500000,397.500000
24.651000,206.500000,397.500000
24.684000,218.500000,399.500000
24.717000,230.500000,399.500000
24.750000,243.357147,399.357147
24.783000,255.964279,399.035706
24.816000,262.500000,398.500000
24.849000,281.500000,396.500000
24.882000,295.500000,395.500000
24.915000,307.946350,393.294006
24.948000,320.500000,391.500000
24.981000,330.500000,388.500000
25.014000,342.500000,386.500000
25.047000,346.500000,384.500000
25.080000,354.863647,382.500000
25.113000,362.756165,380.421173
25.146000,370.055542,378.055542
25.179000,375.133331,376.000000
25.212000,379.500000,374.571442
25.245000,380.966675,374.033325
25.278000,383.500000,373.299988
25.311000,383.761902,373.142853
25.344000,383.097412,373.461029
25.377000,380.932831,374.291046
25.410000,377.323517,375.500000
25.443000,371.500000,377.500000
25.476000,365.029419,379.500000
25.509000,361.558136,380.720917
25.542000,353.500000,383.500000
25.575000,339.029419,387.500000
25.608000,328.500000,390.500000
25.641000,316.500000,392.500000
25.674000,304.500000,394.500000
25.707000,292.500000,396.500000
25.740000,279.009430,397.933960
25.773000,266.555542,398.680542
25.806000,253.029419,399.500000
25.839000,240.366669,399.500000
25.872000,228.500000,399.500000
25.905000,216.500000,398.500000
25.938000,210.500000,398.500000
25.971000,195.078949,397.078949
26.004000,186.892853,396.107147
26.037000,178.500000,394.500000
26.070000,175.500000,394.807678
26.103000,170.042175,393.644592
26.136000,165.548386,392.602142
26.169000,163.233337,392.500000
26.202000,162.361710,392.319153
